name,date_range,hyperlink,page_text
"Charles Frederick, Margrave of Baden", 1732-1789,https://www.hetwebsite.net/het/profiles/baden.htm," German prince and Physiocrat. Charles Frederick, Margrave of Baden (in German, Karl Friedrich Markgraf von Baden, in French Charles Frédéric, Marquis du Bade) was a German territorial prince, ruler of margraviate of Baden in the upper Rhine. Charles Frederick ascended as Margrave of Baden-Durlach as a child in 1738, reaching the age of majority in 1746. In 1771, he inherited neighboring Baden-Baden from his late relative Augustus George, thus uniting Baden under himself.  He endeavoured to acquire territory to amalgamate the margraviate of Baden as a contiguous unit, integrate and overhaul the administration of his domains. Charles Frederick's keen interest in promoting the prosperity of his little domain led him to economic writings.  Charles Frederick had hosted the exiled Scottish mercantilist Sir James Steuart, who finished his 1767 Inquiry while in Baden.  But the Margrave himself was drawn to the Physiocrats.  He approached Mirabeau in correspondence in September 1769, and consulted them on a personal visit to Paris in 1771. Charles Frederick contributed to Physiocratic journals, notably a signed article in the opening volume of the re-launched Ephémérides in 1792, faithfully summarizing the principles of Physiocratic economics.  It was written originally by Charles Frederick as a manual for his heirs, and was subsequently republished as a separate volume later that year under the supervision of Dupont de Nemours. Carl Friedrich began introducing Physiocratic policy  in his own principality - most famously, suppressing indirect taxes and introducing the single tax on land, implemented experimentally under the supervision of J.A. Schlettwein in the villages of Dietlingen, Theningen and Balingen in 1770.  Although promising at first, it was not a success, and the experiment was abandoned in the latter two villages by 1776, although Dietlingen would be extended until 1792. He promoted the removal of restrictions on trade in the German Diet.  In 1783, he abolished all remaining labor dues and promoted the establishment of large farms, which ran into political complications. Charles Frederick brought the unemployed Dupont de Nemours to Karslruhe in 1772, endeavoring first to place him in charge of finances (the effort failed), then deciding to appoint him special councillor (in place of departed Schlettwein) and tutor to his heir.  Dupont left Baden in 1774 to take up a position in Poland.  After the fall of Turgot in 1776, Charles Frederick brought the Abbé Baudeau to Karlsruhe as privy councillor, again also briefly. The correspondence between Charles Frederick of Baden and the Physiocrats was collected by Karl Knies in 1892. Charles Frederick of Baden joined Austria's invasion of the fledgling French Republic in 1792, but the little margraviate was eventually overrun by French troops, and in 1796, Charles-Frederick was forced to cede all his domains on the other side of the Rhine. In 1803, he made up for his by acquiring other territories, notably the Bishopric of Constance, from the emperor. In 1805, Charles Frederick flipped over to the French side, and acquired even more territories. With the dissolution of the Holy Roman Empire 1806, he declared himself sovereign prince and Grand Duke of Baden. He continued fighting for Napoleon, and was rewarded with great swathes of territory at the expense of the Kingdom of Württemberg. In all, Charles Frederick probably quadrupled the size of his original inheritance.

Charles-Frederick died in 1811, succeeded by his grandson, the Grand Duke Charles of Baden.      Major Works of Charles Frederick of Baden   Resources on Charles Frederick of Baden    All rights reserved, Gonçalo L. Fonseca"
Walter Bagehot, 1826-1877.,https://www.hetwebsite.net/het/profiles/bagehot.htm," English journalist, closely associated with the English institutionalist-historicist tradition, One of the early editors of the famous and influential ""Manchester School"" newspaper The Economist.  Bagehot was not avidly opposed to contemporary Classical economics, but he stressed the need for more institutional content - especially cultural and social factors. He was one of the first economists to discuss the concept of the business cycle. In his most famous book, Lombard Street (1873), Bagehot introduced a distinct theory of central banking. After Bagehot's death in 1877, The Economist was taken over jointly by the banking expert R.H. Inglis Palgrave and journalist Daniel Conner Lathbury, pipping out its first choice of successor, Robert Giffen, who went on to found the rival The Statist.      Major Works of Walter Bagehot   Resources on Walter Bagehot   All rights reserved, Gonçalo L. Fonseca"
Gösta A. Bagge, 1882-1951.,https://www.hetwebsite.net/het/profiles/bagge.htm,"Swedish economist and statesman. Gösta Bagge studied economics at Stockhom University under Gustav Cassel. A politically active conservative already in his student years, Bagge founded the conservative Svensk Tidskirft in 1911, with fellow student Eli Heckscher.   Bagge obtained his doctorate in 1917, submitting a dissertation proposing a distinctive equilibrium theory of labor bargaining.  Gösta Bagge went on to join Cassel on the faculty of Stockholm University. In 1921, Stockholm University created a second professorial chair in economics, to be held in conjunction with an appointment as head of the newly-created Institute of Social Policy (Socialinstitutet).  The new chair in economics and social policy went to Gösta Bagge.. After Cassel's retirement, Bagge became gradually isolated as younger faculty members - the ""Stockholm School"" trio in particular, Gunnar Myrdal,  Erik Lundberg and Ingvar Svennilson - carved out space for themselves.   Although Bagge interacted with them, and even conducted the 1936 Wages in Sweden study in cooperation with Lundberg and Svennilson,  the Stockholm Schoolers nonetheless repudiated Bagge.  Although he maintained his professorial chair and directorship of the institute, Bagge gradually detached himself from academia to focus on his political career. Bagge was elected MP party in 1932, and in 1935, became the head of the Swedish Conservative Party.  He served as minister in a coalition government from 1939 to 1944.      Major Works of Gösta Bagge   Resources on  Gösta Bagge   All rights reserved, Gonçalo L. Fonseca"
Samuel Bailey, 1791-1870,https://www.hetwebsite.net/het/profiles/bailey.htm," English proto-marginalist economist, critic of the Classical Ricardian School.  Bailey's reputation rests chiefly on his anonymous 1825 treatise, A Critical Dissertation, etc., which was written in response to de Quincey's Templars' Dialogue.  Bailey pointed out the logical difficulties of both the labor theory of value and Ricardo's ""invariable measure"".  Bailey also called for the generalization of the Ricardian theory of rent to wages.  As a result, Bailey promoted a  ""cost of production"" theory of value, which incorporated capital as well as labor.   He might also be credited with the introduction of the notion of time-preference, arguing that ""we generally prefer a present pleasure or enjoyment to a distant one, not superior to it in other respects."" (Bailey, 1825).   In response to a critical article in the Westminster Review, Bailey published his 1826 Letter restating his views.      Major Works of Samuel Bailey   Resources on Samuel Bailey   All rights reserved, Gonçalo L. Fonseca"
Alexander Bain, 1818-1903,https://www.hetwebsite.net/het/profiles/alex_bain.htm," Scottish mathematician, utilitarian philosopher and early psychologist.  Educated at Aberdeen, where he showed early promise.  In 1845, Alexander Bain was appointed Professor of Mathematics and Natural Philosophy at the University of Glasgow.  But finding academic life constricting, Bain resigned after the first year. He moved to London in 1848, where became involved in the utilitarian circle of John Stuart Mill and George Grote.  He had already been writing for the Westminster Review since 1840 and assisted Mill in various editorial tasks. Alexander Bain's principal works are his Senses and the Intellect (1855) and Emotions and the Will (1859), two treatises in psychophysiology, which cemented his reputation as an early father of psychology. In 1860, Alexander Bain was appointed to the chair in Logic and English at the University of Aberdeen, which he would retain until the end of his life.  He dedicated himself to pedagogy, composing several popular textbooks on grammar and rhetoric, that went through various editions, and positioning himself as an educational reformer (e.g. 1878). In 1876, Alexander Bain helped found and finance Mind,  the first English journal of philosophy and psychology, edited by his former pupil, George Croom-Robertson, at UCL. In 1876 Bain helped edit the Fragments of George Grote.  Then, in 1878, Bain put out a a new edition of James Mill's 1829 Analysis of the Mind.  This prompted Bain to go on to write a 1882 biography of the senior Mill and an accompanying volume on the younger Mill.  In his later years, Bain edited the papers of Croom-Robertson (1894) and also his own works (1884, 1903) and  his own biography (1904).  Alexander Bain's memoirs and recollections have proven a useful source for historians investigating intellectual life in 19th C. Britain.      Major Works of Alexander Bain     Resources on Alexander Bain  All rights reserved, Gonçalo L. Fonseca"
Joe S. Bain, 1912-1991,https://www.hetwebsite.net/het/profiles/bain.htm,"  Joe S. Bain Jr, was a professor of economics at the University of California-Berkeley. Originating from Spokane, Washington, Joe S. Bain Jr. obtained his B.A. from UCLA and his Ph.D. from Harvard in 1940.  Bain joined the faculty at Berkeley in 1939, and remained there until his retirement in 1975.  Bain's contributions were mainly in industrial organization.      Major works of Joe Bain   Resources on Joe S. Bain   All rights reserved, Gonçalo L. Fonseca"
Mikhail Bakunin, 1814-1876,https://www.hetwebsite.net/het/profiles/bakunin.htm," Mikhail Alexandrovich Bakunin was the Russian-born founder of the anarchist movement.  Mikhail Bakunin went further than Proudhon's ""liberal"" anarchism by advocating immediate insurrection and the violent overthrow of the state.  He was personally involved in the 1848 Revolutions in Prague and Dresden. Bakunin was sentenced to death several times and later exiled to Siberia for his activities in Russia.  Ivan Turgenev's celebrated novel, Rudin, is allegedly a literary portrait of Bakunin. In many ways, Bakunin was probably Karl Marx's most powerful rival.  Their conflict led to the collapse of the First International and a subsequent split in revolutionary movements      Major Works of Mikhail Bakunin   Resources on Mikhail Bakunin   All rights reserved, Gonçalo L. Fonseca"
Yves Balasko, 1945-,https://www.hetwebsite.net/het/profiles/balasko.htm,"       Major Works of Yves Balasko   Resources on Yves Balasko All rights reserved, Gonçalo L. Fonseca"
Bela Balassa, 1928-1991,https://www.hetwebsite.net/het/profiles/balassa.htm,"  Hungarian international trade theorist and development economist at the Johns Hopkins University.  Bela Balassa was raised in Hungary, obtaining a law degree at the University of Budapest in 1951.  He proceed to work as a planner at a construction trust in Mikolsc.  However, on orders of the new Communist authorities,  Balassa was internally deported for two years to cotton fieldwork in rural eastern Hungary, before returning to his planning job. Balassa participated in the Hungarian Uprising of 1956, and fled to Austria after its failure.  Armed with a Rockefeller grant, Balassa moved to the United States in 1957, and received his Ph.D. from Yale in 1959.  Balassa stayed on as an assistant professor at Yale.  In the mid-1960s, Balassa rapidly produced a series of famous papers on international trade, e.g. PPP differentials (the ""Balassa-Samuelson effect"") (1964), revealed comparative advantage (1964), effective protection (1965), etc. Balassa became professor of political economy at the Johns Hopkins University in Baltimore in 1966.  Proximity to Washington DC allowed Balassa to also simultaneously serve as a researcher and policy consultant at the World Bank.  It around this time that Balassa turned his focus to development economics.  Balassa was one of the earliest proponents of the ""neo-liberal"" school of economic development, promoting trade liberalization, privatization, etc., as the path for poor countries to grow.  Balassa thus presages the rise of the ""Washington Consensus"" of the 1980s, with outward orientation and government non-intervention as development strategy.  Balassa led several country missions and research programs for the World Bank.      Major Works of Bela Balassa   Resources on Bela Balassa   All rights reserved, Gonçalo L. Fonseca"
Thomas Balogh, 1905-1985,https://www.hetwebsite.net/het/profiles/balogh.htm,"Hungarian-born, L.S.E.-trained, economist and British economic adviser. Born in Budapest, Thomas Balogh studied law and economics at the universities of Budapest and Berlin. In 1928, Balogh spent two years on a Rockefeller fellowship in the United States, and passed as a financial analyst through various central banks - the Reichsbank, Banque de France and Federal Reserve, before emigrating to England, armed with a letter of introduction from Joseph Schumpeter.  With the assistance of Keynes (who was much impressed by his expertise on banking and the financial system), Balogh got a job with the banking firm of O.T. Falk & Co.  In 1934, Balogh became a lecturer at UCL, and in 1940, became a lecturer at Balliol College, Oxford, subsequently elected in 1945. .Balogh was instrumental in established the Oxford Institute of Statistics, which would host several European emigré  economists. He served as the economic advisor to Harold Wilson from the 1964 Labour government. Of somewhat Keynesian stripe (he was a friend of Kaldor), Thomas Balogh saw economic growth as the key to all policy.  Vociferously opposed the rise of the Monetarists, and denounced their rising influence in economic policy.      Major Works of Thomas Balogh   Resources on Thomas Balogh   All rights reserved, Gonçalo L. Fonseca"
Paul A. Baran, 1910-1964.,https://www.hetwebsite.net/het/profiles/baran.htm,"           Major Works of Paul Baran   Resources on Paul Baran All rights reserved, Gonçalo L. Fonseca"
Nicholas Barbon, 1637-?1698.,https://www.hetwebsite.net/het/profiles/barbon.htm," English physician, builder and businessman,  Nicholas Barbon was one of the more careful Mercantilist thinkers, and writer of two notable treatises on money.    He promoted the idea that ""utility"" or ""use"" and scarcity to confer value on goods.  Also the first to discuss the idea of interest as the payment of a ""rent on stock"". Nicholas Barbon was apparently the son of Praise-God Barebone, a leather merchant on Fleet Street, London  firebrand Puritan minister and Fifth Monarchy activist (after whom Cromwell's ""Barebone's Parliament"" of 1653 was named).  According  to some sources, Nicholas Barbon's original first name was the incredulously long ""If-Christ-Had-Not-Died-for-Thee-Thou-Hads’t-Been-Damned"", and that he adopted the name ""Nicholas"" for business purposes, to avoid his name being naturally shortened to ""Damned Barbon""; however, other sources claim ""If-Christ, etc"" was actually his father's first name, which he shortened to the nickname ""Praise-God"" for convenience). Like several other notable 17th C. Englishmen, Nicholas Barbon studied medicine in the Netherlands, initially at Leiden, and obtained his M.D. from Utrecht in 1661.  He enrolled in the College of Physicians in London in 1664, but did not practice medicine for long. Barbon sought to make a fortune, and launched a career as an entrepreneur and business promoter, pioneering developments in three fields - construction, insurance and banking. The opportunity had been afforded by the Great Fire of London in September 1666, which had devastated great swathes of the city.  Barbon promptly set up a construction concern.  His initial efforts were quickly raising buildings from the ashes inside the city walls, but he soon set his eye on the vast undeveloped suburban area between Westminster and London.  Barbon   In the aftermath of the Great Fire of London in September 1666, Nicholas Barbon founded the ""Insurance Office for Houses on the Back-Side of the Royal Exchange"" in 1667, which he managed through 1680, when it took on more partners, and become recast as ""the Fire Office"" (also known as ""the Phoenix""), the first private proprietary insurance company in the English-speaking world. In Barbon's scheme, buildings insured by his Fire Office were affixed with a metal plate of a phoenix rising from the ashes, as a signal marker to the company's fire-fighting brigades. The Fire Office assumed risk of loss up to a fixed amount, with premiums of 2.5% of yearly rent for brick houses, and 5% for wooden frame houses. The Fire Office was organized with an initial fund of £40,000, to be increased by £20,000 for every 10,000 houses insured. Only a year after the establishment of the Bank of England, Barbon in collaboration with John Asgill, a promoter of currency. The Barbon-Asgill Land Bank was founded in 1695.

Barbon blamed the decay of trade on trade restrictions and high interest rates. He proposed a pre-Keynesian theory of effective demand, arguing that savings were detrimental to trade, prosperity and employment, and urging great expendtirue (in this case, luxuries) needed to be encouraged. He supported Child in the scheme to lower the rate of interest in England (then running at 6%, in contrast to the 3% in Holland), and argued that low interest rates would help merchants build up stocks, benefitting the rest of the country by serving as buffer stocks to help stabilize commodity prices and rents.      Major Works of Nicholas Barbon Resources on Nicholas Barbon All rights reserved, Gonçalo L. Fonseca"
Enrico Barone, 1859-1924.,https://www.hetwebsite.net/het/profiles/barone.htm," Italian military officer, economist, early disciple of Walras and Pareto and honorary member of the Lausanne School Born in Naples, Enrico Barone enrolled in the Neapolitan Military Academy in 1874 and signed up for a career in the general staff of the Italian armed forces. The technically-minded Barone found an outlet for his abilities in military strategy and science and published articles on issues such as artillery targeting.  In 1887, he began teaching military strategy at the Artillery School and collected his lectures in a 1887 textbook. Barone's treatment of military strategy went beyond merely its technical aspects to incorporate relevant economic and social situations.  This gave him the excuse to begin reading widely in those fields. The early 1890s marked the appearance of the ""new"" mathematics economics in the pages of the Giornale degli Economisti, edited by Pantaleoni.  Barone was particularly impressed by the articles of Pareto (whom he would later refer to as his ""master"").  In 1894, Barone began contributing his own economics articles to the GdE and came into a fruitful correspondence with the  members of the Lausanne School and other Neoclassical economists. Enrico Barone was instrumental in convincing Walras to incorporate variable production techniques - and, by extension, marginal productivity theory - into the Walrasian system. Barone's most famous contribution, however, was in getting the ""Socialist Calculation"" debate started with his famous 1908 article. His position, later taken up by Taylor and Lange, was that it was indeed possible in a collectivist state for a planning agency to calculate prices in order to achieve maximum efficiency. But he did not think it could do ""better"" than a capitalist economy.   In 1908, Barone published his principal economics treatise,  the Principi di economia politica.  Barone was also a capable public finance economist.  His 1912 article was the first to apply indifference curve analysis to compare the relative burdens of income taxes and excise taxes.  He was also an articulate opponent of ""progressive"" taxation schemes as they rested on what he considered highly dubious utilitarian calculations.      Major works of Enrico Barone Resources on Enrico Barone   All rights reserved, Gonçalo L. Fonseca"
Alain Barrère, 1910-1995.,https://www.hetwebsite.net/het/profiles/barrere.htm,"French Post-Keynesian economist of the ""circuitiste"" school. Having read Keynes's General Theory while a prisoner-of-war during World War II, Barrère went on to develop a distinctive approach to Keynesian theory -- what was later known as the ""circuit"" or ""circulationist"" approach -- quite separately from  Neo-Keynesian developments in  the U.S.  In particular, and  from the outset, Barrère identified Keynes's ""monetary theory of production"" as the critical vision part of his system, which was distinct and irreconcilable with the Neoclassical.  In his theory, Barrère notes, it is impossible to do away with the role of endogenous money and Knightian uncertainty, as many post-war Neo-Keynesians did, thus presaging many of the developments of the later Post Keynesiacan school.  In extending his system from the short-run to the long-run, Barrère's followed a similar route taken by the Cambridge Keynesians, albeit keeping money in the story throughout. Barrere was professor at Toulouse from 1946 to 1957, when he developed much of the early part of his theory.  From 1957, he has been in Paris, first at Paris University, then at the Ecole Pratique des Hautes Etudes and finally, at Paris I-Sorbonne.      Major works of Alain Barrère   Resources on Alain Barrère   All rights reserved, Gonçalo L. Fonseca"
Robert J. Barro, 1944-,https://www.hetwebsite.net/het/profiles/barro.htm," However much theoretical and empirical work Robert J. Barro has done, it is nothing compared with the amount of work he has forced others to undertake in an effort to address his insights. The career of this renowned New Classical macroeconomist from Harvard has evolved through several distinct stages. Nonetheless, at each stage, Barro has made groundbreaking - and controversial - contributions which have reshaped much of macroeconomics since the 1970s. Early in his career,  Barro was a leading figure in Walrasian-Keynesian ""disequilibrium"" macroeconomics in the tradition of Clower and Leijonhufvud - producing, with Herschel Grossman, perhaps the two most definitive pieces in this tradition - complete macromodels with goods market and labor market rationing equilibria (1971, 1976). Almost immediately, Barro turned on his Keynesian roots and joined the Rational Expectations revolution with two central pieces: his celebrated ""Ricardian Equivalence Hypothesis"" (1974) and his famous money neutrality paper (1976). Under a particular set of assumptions (e.g. intergenerational altruism or immortality, perfect capital markets, lump sum taxation, and the condition that debt not grow faster than the economy), Barro's (1974) ""Ricardian Equivalence Hypothesis"" argues that every bond-financed deficit must be met by a future tax increase, that this tax increase would be forseen by living agents and that these agents would care enough about posterity to adjust their present consumption accordingly. In short, this implies that agents do not take a bond-financed fiscal expansion as a lucky windfall but rather will save the entire proceeds in anticipation of the future tax burden - and thus not raise their demand for goods and services. Thus income received by agents from government deficit-spending is all saved - and hence has no effect on consumption (thus no multiplier) - and that these savings go into the demand for the very same bonds that were supplied to finance that government spending (so bond demand rises exactly to meet higher bond supply, and money demand is unchanged) and thus there is no effect on interest rates either. Barro's ""Ricardian Equivalence Hypothesis"" has spawned a virtual research industry of its own as a whole generation of economists have climbed over each other tortuously examining, assailing, and verifying the validity and implications of Barro's theorem (his 1974 paper is among the most-referenced papers in economics today). Barro's 1976 paper on the neutrality of monetary policy (i.e. that changing money supply growth would not affect output or interest or any real variables) followed up on the work of Lucas and Sargent and although less unique, it was no less controversial. Barro nonetheless proceeded on to develop new theories of fiscal policy which respected Ricardian Equivalence (1979, 1980, 1981). His work on ""optimal taxation"" and the impact of permanent/temporary government spending on time paths of output, consumption and interest rates have also been followed up intently by other economists. Barro's essential approach was that, while accepting that the size of a deficit would not matter, fiscal policy can still have an effect on the income and consumption profiles of people over time and thus, one can and should carefully examine particular expenditure and tax schemes for differing welfare implications. Together with D. Gordon, Robert Barro (1983) cracked open another new flood of research in his analysis of inflation as a ""dynamic inconsistency"" problem: the idea that inflation results from a game played between the government (more specifically, the central bank) and the general public. The argument essentially is that Central Banks are often (rationally) tempted to violate their own announced inflation targets in order to reduce unemployment; as a result, the public will generally deduce that inflation targets will not be met and thus raise their inflation expectations accordingly - which will itself increase inflation and make the announced inflation target inoperable from the start. The public policy implication of this idea is that, in order to control inflation, Central Banks should be bound by externally-imposed rules or run by conservative, reputation-careful chairmen in order to build public confidence in announced inflation targets and avoid the temptation to violate them. Such ""rules"" have been experimentally inserted into the charters of central banks in several countries (e.g. New Zealand) as a result of Barro's observations. Never one to shy away from empirical work, Barro has lent his hand to numerous massive and authoritative empirical studies on several macroeconomic issues such as monetary policy, fiscal policy, growth, etc. (e.g. 1978, 1979, 1986, 1987, 1990, 1995). He has accompanied the development of New Classical economics into the fields of Real Business Cycle Theory and the Neoclassical theory of economic growth. His most recent empirical and theoretical efforts have been in attempting to determine the sources of growth - i.e. the factors that make particular countries grow faster than others rather than converge to a common growth rate (1991, 1992, 1993, 1995).      Major Works of Robert J. Barro   Resources on Robert Barro   All rights reserved, Gonçalo L. Fonseca"
John Barton, 1789-1852,https://www.hetwebsite.net/het/profiles/barton.htm," English anti-classical economist, Quaker and well-traveled gentleman of independent means. According to his brother, the poet Bernard Barton, the family fortune was built on a calico-printing machine innovation introduced by their grandfather.  Based on his estates in Chicester, Sussex, John Barton seemed to have dedicated himself to traveling abroad and writing sporadically on wide interests in botany and political economy. Other known activities include serving as a trustee of the Chichester Savings Bank and the Lancaster Mechanics Institute and resigning from the Society of Friends after an acrimonious dispute.   Barton's Observations in 1817, followed up by his Inquiry in 1820,  knocked down a few of the sacred cows of the nascent Classical school.  His impetus was to dismiss the Malthusian population doctrine.  Barton noted that, empirically, the progress of population had preceded and been much faster than growth in wage income, so the former could not be conditional on the latter. Indeed, he claimed, we often find population growth strongest when wages are low.  He posited a curious theory of causation, emphasizing the connection between fertility and security of employment, rather than income. When wages are high, he argued, there is a tendency for employers to fire workers and rely on more labor-saving machinery.  And unemployment is a great deterrent for marriage and starting a family - as well as observed increase in the mortality rate (something Malthus himself had difficulty with).  Conversely, when wages are low, employment increases, so even if incomes are not particularly high, long-term income security is, and thus there is more confidence for workers to start families and thus population growth.  He ascribes the English population growth wave from the increase in precious metals from abroad, which had risen prices and profits and prompted employers to increase their scale of production and go on a hiring spree. Barton's thesis hung on the point of permanent technological unemployment - that is that the introduction of labor-saving machinery would permanently displace workers that would not be absorbed by other branches of industry.  This seemed to echo working class sentiment at the time, which was exhibiting itself in the Luddite wave of machine-smashing.  It also seemed to undermine the confidence Classical economists had placed in the benevolent priestess of technical improvement, and the 'harmoniousness' of class interests in the progress of industry.  He also took a shot at Say's Law, emphasizing the loss of demand by unemployed would not be made up by investment. Barton's essays were stumbled upon by Malthus and commented upon favorably by Sismondi, unfavorably by McCulloch.  Most famously, it provoked David Ricardo to respond to him in correspondence, then revise his own ideas on technological change and compose his famous Chapter 31 (""On Machinery"") in the third edition of the Principles, confirming Barton's argument.  Unlike many other economists, Barton put urgent emphasis on the policy role of emigration (esp. to Canada) in the defusing the population bomb (e.g. 1830), dismissing the Malthusian fear that so relieved, the population would just explode again. Barton also took issue with the free-traders in his 1833 tract, defending the existing Corn Laws on the basis of its differential effects, again notably on employment.  He conceded the cost and collective welfare gains from trade, but demanded that they be weighed against disruption and costs of unemployment, however temporary, in the countryside.  His 1847 tract linked the crisis in the British banking system with the repeal of the tariffs - a phenomenon he had predicted in letters to newspapers written before the fact in 1846.      Major Works of John Barton   Resources on John Barton All rights reserved, Gonçalo L. Fonseca"
John Bascom, 1827-1911,https://www.hetwebsite.net/het/profiles/bascom.htm,"American educator at Wisconsin and Williams. Originating from Genoa, in rural upstate New York, John Bascom descended from a line of Congregationalist ministers that stretched back to the earliest Massachusetts Pilgrims.  His father died when he was still an infant, and John and his three older sisters were raised with pious devoutness by their mother.  Bascom obtained his first formal schooling at the relatively late age of seventeen, at Homer Academy, before proceeding to enroll at Williams College, graduating in 1849. Bascom was expected by his family to follow a clerical career, like his father and grandfather. Nonetheless, Bascom decided to try some other avenues first - first spending a year as a schoolteacher, then studying law in Rochester - before finally enrolling in a theological seminary in Auburn.  From 1852, Bascom was a tutor at William College.  After finishing his theological degree at Andover in 1855, Bascom was hired as a full-time professor of rhetoric (English) at Williams College, where he would remain for the next two decades.  Bascom's friend and colleague Arthur L. Perry, was in charge of political economy at Williams.  Nonetheless, Bascom published a textbook on economics in 1859. In 1874, John Bascom became president of the University of Wisconsin, a position he held until 1887.  As per man college presidents of the time, Bascom was un charge of the final-year lectures on economics for Wisconsin students.  Although Bascom started off as a traditional apologist, Bascom gradually embraced Christian Socialism and Progressivism. After being driven out of Wisconsin in 1887, Bascom returned to Williams College, where he lectured on sociology.  In 1891, upon Perry's retirement, Bascom took charge of the political economy at Williams. Bascom finally retired himself in 1903.      Major Works of John Bascom     Resources on  John Bascom   All rights reserved, Gonçalo L. Fonseca"
Charles Henry Bastable, 1855-1945.,https://www.hetwebsite.net/het/profiles/bastable.htm," Irish classical economist. Irish-born Charles Francis Bastable was educated at Trinity College Dublin. In 1882, Bastable was appointed to the Whately Chair in Political Economy at Trinity College, Dublin (which he would hold until 1932 --  a record length!).  Like J.E. Cairnes before him, Bastable was, simultaneously a professor of jurisprudence at University College Galway  (from 1902, moved his jurisprudence chair to Trinity).    Charles F. Bastable was international trade theorist and one of the finest (and latest) expositors of Classical Ricardian theory. However, critical of Mill's international payments theory.  Bastable's Public Finance (1892) was, for a while, considered the authoritative (if altogether a little too ""legalistic"") treatment of the subject.  Generally conservative, Bastable was a proponent of proportional (as opposed to progressive) taxation.      Major Works of Charles Francis Bastable   Resources on C.F. Bastable   All rights reserved, Gonçalo L. Fonseca"
Frédéric Bastiat, 1801-1850.,https://www.hetwebsite.net/het/profiles/bastiat.htm," French liberal journalist, economist and wit.  Claude Frédéric Bastiat originated from Bayonne, in the Pyrenées region of southern France, the son of local merchant. Frédéric was orphaned at 1810 and raised under the guardianship of an aunt. In 1818, Bastiat left school without completing his formal education and went to work for his uncle in Bayonne. He got interested in the issue of trade in relation to the business, and at some early point, Bastiat read the works of Jean-Baptiste Say and Adam Smith. In 1825, Bastiat inherited a landed estate in nearby Mugron from his grandfather. Although not finding much success as a farmer, Bastiat was an enthusiast for new agricultural technology. Bastiat struck up a critical friendship with a neighboring farmer, Felix Coudroy, of socialist inclinations, who would become Bastiat's debating partner and study companion in political economy for the next two decades. In 1831, Bastiat married Marie Hiard, but apparently the marriage was not a success and the two became estranged shortly after. After the July Revolution of 1830, Bastiat put his toe into politics.  He became a justice of the peace (juge de paix) in the district of Mugron in 1831 and was elected member of the local council, the Conseil général des Landes, in 1832. But his attempts to get elected to the national Council of Deputies did not succeed. Bastiat's first writings were a series of pamphlets (one in 1834, three more in the early 1840s), mainly pertinent to taxes and the local economy  - notably the wine trade.  In the early 1840s, Bastiat became a subscriber to the English paper, The Globe & Traveller, through which he became acquainted with the Anti-Corn Law League, the vigorous British free trade movement of Richard Cobden and John Bright.  In 1844, Bastiat submitted his first article to the Journal des economistes, the major French economics journal of the day, which drew considerable attention.  Encouraged, Bastiat took to writing a book on Cobden and the British free trade movement, as well as more articles for the Journal, including the series ""Sophismes économiques"" in 1845, which contained the famous ""Petition of the Candlemakers"" and numerous other satirical pieces that have since become classics of economic commentary.   The toast of the free trade economists, Bastiat visited Paris in May, 1845 and proceeded to London and Manchester in July 1845, returning to Mugron in October. Frédéric Bastiat moved to Paris permanently in 1846.  Later that year, Bastiat and other members of the Société d'économie politique, founded the Paris branch of the French free trade association (Association pour la Liberté des Échanges, orig. est. in Bordeaux in February 1846), serving as its general secretary and editor of its journal, Libre Échange.  Through his writings and activities, Bastiat agitated against the protectionist tendencies of the Orleanist July Monarchy and in particular Adolphe Thiers.  The ""people's revolution"" of February 1848 prompted a change of direction.  Bastiat launched a new paper, the République française, and put out of series of pamphlets directed against the socialists.  Significant among them was Bastiat's Capital et Rente (1849) ruminating over the nature of capital and interest, which had been assailed by socialists. It provoked  a literary duel with Michel Proudhon in the pages of the Voix du Peuple. In August 1848, Frédéric Bastiat  was elected to the French constituent assembly for the department of Landes, and was selected for the finance committee.  Although the weakness of his voice did not let him stand out as an orator, Bastiat was nonetheless returned the next year for the legislative assembly,  Moreover, ill health (tuberclosis) soon began to plague Bastiat, and he gave up more active editing duties.  Following up on a few articles, in 1850, with some difficulty, Bastiat put out the first volume of his Economic Harmonies, articulating an optimistic laissez-faire position and repudiating the concept of class conflict. It contained Bastiat's rejection of Malthus's population doctrine and the more ambitious goal of displacing the classical Ricardian labor theory of value with an exchange (or ""service"") theory of value.  Bastiat may be regarded as a proto-marginalist in line with the catllacticists of the Oxford-Dublin school.  Bastiat's theory in the Harmonies was lauded by H.D. Macleod as coincident with his own, and Arthur L. Perry would credit Bastiat as the primary source for his own catallactic theory.  But Bastiat's theoretical work was not well-received by others, and he was severely criticized by, among others, Cournot,  Lassalle, Cairnes, Marshall and Bohm-Bawerk. Exhausted and ill after its completion, Bastiat went to Italy in the late summer of 1850 to recuperate his health, but died in Rome on December 24, 1850.      Major Works of Frederic Bastiat   Resources on Frederic Bastiat Contemporary Modern All rights reserved, Gonçalo L. Fonseca"
Francis M. Bator, 1925-,https://www.hetwebsite.net/het/profiles/bator.htm,"     Major Works of Francis M. Bator   Resources on Francis Bator   All rights reserved, Gonçalo L. Fonseca"
